Account Number,Application Outcome,Date of Application,Date of Failure,APR,In Military
ACC8901,Fail,01-03-2025,12-03-2025,42.3,No
ACC5891,Fail,17-01-2025,30-01-2025,41.2,No
ACC7015,Fail,17-02-2025,01-03-2025,40.6,No
ACC5895,Fail,16-01-2025,27-01-2025,40.2,No
ACC2345,Fail,15-03-2025,25-03-2025,40.1,No
ACC1458,Fail,08-04-2025,20-04-2025,39.8,No
ACC0130,Fail,06-04-2025,18-04-2025,39.6,No
ACC6780,Fail,12-02-2025,25-02-2025,39.4,No
ACC1460,Fail,16-04-2025,28-04-2025,39.3,No
ACC8903,Fail,20-03-2025,30-03-2025,38.9,Yes
ACC5795,Fail,09-04-2025,22-04-2025,38.7,No
ACC8905,Fail,18-03-2025,28-03-2025,38.4,Yes
ACC9012,Fail,10-02-2025,20-02-2025,38.25,No
ACC1350,Fail,11-02-2025,23-02-2025,37.9,No
ACC5790,Fail,20-04-2025,30-04-2025,37.5,No
ACC4570,Fail,27-01-2025,07-02-2025,37.2,Yes
ACC3678,Fail,08-03-2025,20-03-2025,36.8,Yes
ACC7018,Pass,02-02-2025,,35.8,No
ACC0123,Pass,12-04-2025,,35.6,No
ACC7014,Pass,01-02-2025,,35.4,No
ACC7016,Pass,09-02-2025,,35.1,Yes
ACC5893,Pass,23-01-2025,,34.8,No
ACC1461,Pass,11-04-2025,,34.5,Yes
ACC4568,Pass,10-01-2025,,34.2,No
ACC1352,Pass,13-02-2025,,34.1,No
ACC1348,Pass,06-02-2025,,33.9,No
ACC4573,Pass,24-01-2025,,33.3,No
ACC5789,Pass,28-04-2025,,33.1,No
ACC1457,Pass,10-04-2025,,32.8,No
ACC4572,Pass,26-01-2025,,32.4,No
ACC4569,Pass,05-01-2025,,31.7,No
ACC5896,Pass,11-01-2025,,31.5,No
ACC4571,Pass,31-01-2025,,31.2,No
ACC2350,Pass,30-03-2025,,30.9,No
ACC2348,Pass,28-03-2025,,30.5,No
ACC9241,Pass,18-01-2025,,30.3,No
ACC1456,Pass,15-04-2025,,30,No
ACC9235,Pass,25-01-2025,,29.7,No
ACC3683,Pass,03-03-2025,,29.5,No
ACC3681,Pass,02-03-2025,,29.1,No
ACC6789,Pass,25-02-2025,,28.9,No
ACC9238,Pass,14-01-2025,,28.8,No
ACC6785,Pass,05-02-2025,,28.6,Yes
ACC9236,Pass,20-01-2025,,28.3,Yes
ACC2346,Pass,17-03-2025,,27.6,No
ACC9240,Pass,21-01-2025,,27.2,No
ACC6783,Pass,03-02-2025,,26.7,No
ACC6781,Pass,28-02-2025,,26.5,No
ACC4574,Pass,29-01-2025,,26.2,No
ACC8904,Pass,14-03-2025,,25.8,No
ACC5794,Pass,21-04-2025,,25.3,No
ACC1345,Pass,18-02-2025,,25.2,No
ACC8907,Pass,13-03-2025,,24.6,No
ACC7013,Pass,08-02-2025,,24.1,Yes
ACC1349,Pass,26-02-2025,,23.7,No
ACC1347,Pass,15-02-2025,,23.4,No
ACC2352,Pass,29-03-2025,,23.1,No
ACC5892,Pass,12-01-2025,,22.7,No
ACC5796,Pass,27-04-2025,,22.4,Yes
ACC5894,Pass,19-01-2025,,22.2,No
ACC3456,Pass,05-04-2025,,22,No
ACC2351,Pass,27-03-2025,,21.9,No
ACC8902,Pass,26-03-2025,,21.8,No
ACC9237,Pass,08-01-2025,,21.4,No
ACC8906,Pass,16-03-2025,,20.7,No
ACC7012,Pass,04-02-2025,,20.5,No
ACC2347,Pass,12-03-2025,,19.9,No
ACC0127,Pass,07-04-2025,,19.5,No
ACC1462,Pass,13-04-2025,,19.3,No
ACC8908,Pass,21-03-2025,,18.9,No
ACC0126,Pass,01-04-2025,,18.6,No
ACC4567,Pass,07-01-2025,,18.4,Yes
ACC0128,Pass,04-04-2025,,18.1,No
ACC1459,Pass,14-04-2025,,17.8,No
ACC3679,Pass,04-03-2025,,17.4,No
ACC7017,Pass,19-02-2025,,17.2,No
ACC3680,Pass,06-03-2025,,16.8,No
ACC3682,Pass,24-03-2025,,16.5,No
ACC0124,Pass,03-04-2025,,16.3,No
ACC0129,Pass,17-04-2025,,16.1,No
ACC3684,Pass,07-03-2025,,15.9,No
ACC5678,Pass,22-03-2025,,15.75,No
ACC5792,Pass,22-04-2025,,15.3,Yes
ACC6784,Pass,14-02-2025,,14.8,Yes
ACC9234,Pass,22-01-2025,,14.7,Yes
ACC3685,Pass,09-03-2025,,14.5,No
ACC0125,Pass,18-04-2025,,14.2,Yes
ACC6786,Pass,16-02-2025,,13.7,Yes
ACC1346,Pass,20-02-2025,,13.6,Yes
ACC2349,Pass,10-03-2025,,13.2,Yes
ACC6782,Pass,22-02-2025,,12.9,Yes
ACC9239,Pass,09-01-2025,,12.7,Yes
ACC1234,Pass,15-01-2025,,12.5,No
ACC5890,Pass,30-01-2025,,11.9,Yes
ACC5793,Pass,29-04-2025,,11.8,Yes
ACC1351,Pass,24-02-2025,,11.5,Yes
ACC5791,Pass,25-04-2025,,11.1,No
ACC7890,Pass,28-01-2025,,10.8,No
